Date,Open,High,Low,Close,Adj Close,Volume
2/28/2022,133.2845,135.640503,132.825256,134.891006,134.891006,29676000
3/1/2022,134.479996,136.110992,133.378494,134.167999,134.167999,24640000
3/2/2022,134.608246,135.615494,133.432495,134.751495,134.751495,23966000
3/3/2022,135.9785,136.713806,133.431,134.307999,134.307999,19780000
3/4/2022,133.382507,134.199005,130.408493,132.121994,132.121994,24446000
3/7/2022,131.904007,131.904007,126.410004,126.4645,126.4645,39178000
3/8/2022,126.250504,131.246506,125.860748,127.278503,127.278503,35250000
3/9/2022,131.399994,134.198502,130.087997,133.865997,133.865997,32258000
3/10/2022,131.462494,133.538498,131.401001,132.682007,132.682007,24266000
3/11/2022,133.999496,134.199997,130.296494,130.475494,130.475494,26600000
3/14/2022,130.572998,131.026001,126.413002,126.740997,126.740997,30254000
3/15/2022,127.741501,130.517242,126.568001,129.660507,129.660507,30292000
3/16/2022,131,133.770996,129.201004,133.690506,133.690506,32058000
3/17/2022,133.320999,134.739502,132.718994,134.600494,134.600494,23994000
3/18/2022,133.884003,136.913498,132.932007,136.801498,136.801498,45900000
3/21/2022,136.847504,137.582504,134.611496,136.4785,136.4785,26632000
3/22/2022,136.5,141.5,136.5,140.277496,140.277496,29776000
3/23/2022,139.138504,140.024994,138.166504,138.503494,138.503494,25302000
3/24/2022,139.272507,141.3965,138.039398,141.311996,141.311996,20544000
3/25/2022,141.753998,141.959503,139.699493,141.5215,141.5215,19270000
3/28/2022,140.684494,141.976501,139.828156,141.949997,141.949997,23774000
3/29/2022,143.160507,144.162506,142.483994,143.25,143.25,28678000
3/30/2022,142.869995,143.480499,142.167999,142.644501,142.644501,21046000
3/31/2022,142.448502,142.644501,139.619003,139.649506,139.649506,29516000
4/1/2022,140.009995,140.949997,138.796997,140.699997,140.699997,23480000
4/4/2022,140.824493,144.043747,140.824493,143.642502,143.642502,19076000
4/5/2022,143.399506,143.589996,140.943497,141.063004,141.063004,19256000
4/6/2022,139.161499,139.848495,136.418106,137.175995,137.175995,23574000
4/7/2022,136.617996,137.701508,134.857254,136.464996,136.464996,19448000
4/8/2022,136.25,136.25,133.752502,134.010498,134.010498,16434000
4/11/2022,132.899994,132.939194,129.617493,129.796494,129.796494,24188000
4/12/2022,132.423492,132.423492,127.575996,128.374496,128.374496,23004000
4/13/2022,128.626495,130.655746,128.438599,130.285995,130.285995,19542000
4/14/2022,130.649506,130.710251,127.111504,127.252998,127.252998,23484000
4/18/2022,127.410004,128.712006,126.578453,127.960999,127.960999,14918000
4/19/2022,128.076996,130.903748,127.4515,130.531006,130.531006,22720000
4/20/2022,131.283997,131.923492,127.894051,128.245499,128.245499,22610000
4/21/2022,129.350006,130.307495,124.650002,124.9375,124.9375,30158000
4/22/2022,125,125.452003,119.140503,119.613998,119.613998,46410000
4/25/2022,119.429497,123.278,118.769249,123.25,123.25,34522000
4/26/2022,122.75,122.75,119.16185,119.505997,119.505997,49394000
4/27/2022,114.373001,117.5,113.124252,115.0205,115.0205,62238000
4/28/2022,117.114998,120.438499,115.143898,119.411499,119.411499,36790000
4/29/2022,117.578003,118.959999,114.694,114.966499,114.966499,33694000
5/2/2022,113.906502,117.3395,113.399498,117.156998,117.156998,30280000
5/3/2022,116.764999,119.300003,116.626999,118.129501,118.129501,21216000
5/4/2022,118.003502,123.142998,115.738503,122.574997,122.574997,33232000
5/5/2022,120.220497,121.233253,115.182503,116.746498,116.746498,43090000
5/6/2022,115.518997,117.498497,114.142998,115.660004,115.660004,35310000
5/9/2022,113.303497,115.562897,112.551498,113.084,113.084,34520000
5/10/2022,116.040497,116.691002,113.383301,114.584503,114.584503,31158000
5/11/2022,113.710503,116.670998,113.650002,113.960999,113.960999,36502000
5/12/2022,111.938004,114.856499,110.113503,113.161003,113.161003,41464000
5/13/2022,114.845497,118.084999,114,116.515503,116.515503,29738000
5/16/2022,115.384003,116.607498,114.334999,114.792503,114.792503,23282000
5/17/2022,117.227501,117.227501,115.337502,116.7015,116.7015,21576000
5/18/2022,115.237503,115.695648,112.141998,112.401001,112.401001,27982000
5/19/2022,111.841003,113.587502,110.468002,110.745499,110.745499,29192000
5/20/2022,112.085503,112.550003,106.373001,109.313004,109.313004,37586000
5/23/2022,110.103996,112.005501,109.154251,111.666496,111.666496,31558000
5/24/2022,106.377502,106.394997,102.208,105.926003,105.926003,60386000
5/25/2022,105.141998,106.544701,104.21125,105.8395,105.8395,37900000
5/26/2022,106.050499,108.955254,105.487999,108.295998,108.295998,30288000
5/27/2022,109.788498,112.867996,109.550003,112.799004,112.799004,29924000
5/31/2022,113.079002,116.433502,112.572502,114.039001,114.039001,51302000
6/1/2022,114.931503,117.399002,113.550499,114.137001,114.137001,28630000
6/2/2022,114.188004,117.898003,113.307999,117.746002,117.746002,27472000
6/3/2022,115.9925,116.364502,113.667999,114.564003,114.564003,25052000
6/6/2022,116.7425,119.398499,116.528297,117.010498,117.010498,23786000
6/7/2022,115.648003,117.74865,115.125504,117.2295,117.2295,26414000
6/8/2022,116.876503,118.646004,116.696747,117.237999,117.237999,22544000
6/9/2022,116.341499,118.349998,114.866997,114.917999,114.917999,23142000
6/10/2022,112.78125,113.497002,110.861,111.427498,111.427498,31324000
6/13/2022,107.445999,109.218498,106.588051,106.876503,106.876503,36756000
6/14/2022,106.889999,108.457497,106.351997,107.194,107.194,25480000
6/15/2022,108.899498,112.063004,108.118752,110.390503,110.390503,33192000
6/16/2022,108.149498,109.290497,105.792503,106.636002,106.636002,35314000
6/17/2022,106.535004,109.249496,105.628548,107.865501,107.865501,43516000
6/21/2022,109.702003,112.672997,109.293503,112.014999,112.014999,39010000
6/22/2022,111.163002,113.769501,110.724297,112.033997,112.033997,23922000
6/23/2022,112.949997,113.196503,111.028999,112.684502,112.684502,24710000
6/24/2022,113.602997,118.637497,113.602997,118.538002,118.538002,39122000
6/27/2022,118.934998,119.25,116.000748,116.622498,116.622498,32840000
6/28/2022,116.350998,117.856499,112.444,112.571503,112.571503,28232000
6/29/2022,112.148499,113.664497,111.554001,112.2565,112.2565,18628000
6/30/2022,110.499496,111.329803,107.309998,109.372498,109.372498,38046000
7/1/2022,108.336998,109.806351,107.105003,109.081001,109.081001,31028000
7/5/2022,107.514503,114.052597,106.249496,113.887001,113.887001,36398000
7/6/2022,114.092003,116.351997,112.250504,115.213501,115.213501,28852000
7/7/2022,116.008003,119.862,115.533997,119.306,119.306,32184000
7/8/2022,117.550003,120.434998,117.514,120.168503,120.168503,29082000
7/11/2022,118.650002,118.794502,116.234497,116.522499,116.522499,26718000
7/12/2022,116.838501,117.849503,114.614998,114.849503,114.849503,24970000
7/13/2022,112.639,115.156998,111.822998,112.186996,112.186996,38958000
7/14/2022,110.825996,111.987503,109.3255,111.440002,111.440002,32366000
7/15/2022,112.962997,114.000504,111.822502,112.766998,112.766998,34330000
7/18/2022,113.440002,114.800003,109.300003,109.910004,109.910004,33354000
7/19/2022,111.730003,114.809998,110.5,114.620003,114.620003,30992300
7/20/2022,114.059998,116.330002,113.260002,114.699997,114.699997,26780100
7/21/2022,115.089996,115.209999,111.910004,115.040001,115.040001,27267800
7/22/2022,111.809998,113.18,107.599998,108.360001,108.360001,44455300
7/25/2022,108.879997,110.580002,107.010002,108.209999,108.209999,28289900
7/26/2022,107.43,107.739998,104.760002,105.440002,105.440002,36626600
7/27/2022,109.599998,114.400002,108.419998,113.599998,113.599998,41474600
7/28/2022,112.800003,114.699997,111.850998,114.589996,114.589996,23303800
7/29/2022,113.400002,116.900002,113.230003,116.639999,116.639999,31336200
8/1/2022,115.529999,117.120003,114.690002,115.480003,115.480003,22856200
8/2/2022,114.43,117.080002,114.260002,115.900002,115.900002,17911000
8/3/2022,116.339996,119.419998,116.150002,118.779999,118.779999,25302800
8/4/2022,118.300003,119.5,117.709999,118.870003,118.870003,15757700
8/5/2022,116.93,118.860001,116.709999,118.220001,118.220001,15615700
